file_type,column,dtype,non_null_n,null_rate,sample_values
DEMO_glp1,primaryid,int64,288173,0.0,4698906 | 4708385 | 4712943 | 4714764 | 4714797
DEMO_glp1,caseid,int64,288173,0.0,5839849 | 5836934 | 5840421 | 5844382 | 5844287
DEMO_glp1,i_f_cod,str,55200,0.8084,I | F
DEMO_glp1,caseversion,float64,235713,0.182,1.0 | 2.0 | 3.0 | 4.0 | 5.0
DEMO_glp1,image,str,55200,0.8084,4698906-1 | 4708385-3 | 4712943-X | 4714764-0 | 4714797-4
DEMO_glp1,event_dt,str,142830,0.5044,20050618 | 20040823 | 20050623 | 20050601 | 20050614
DEMO_glp1,mfr_dt,str,283428,0.0165,20050621 | 20050627 | 20050630 | 20050701 | 20050708
DEMO_glp1,fda_dt,str,288173,0.0,20050622 | 20050706 | 20050711 | 20050713 | 20050715
DEMO_glp1,rept_cod,str,288173,0.0,DIR | EXP | PER | 30DAY
DEMO_glp1,mfr_num,str,282165,0.0208,2005PV000078 | 2005CL000590 | 2005PV000171 | 2005PV000187 | 2005PV000201
DEMO_glp1,mfr_sndr,str,286943,0.0043,"AMYLIN PHARMACEUTICALS | AMYLIN PHARMACEUTICALS, INC. | AMYLIN  PHARMACEUTICALS | AMYLIN PHARMACEUTICAL | AMYLIN PHARMACEUTICALS INC"
DEMO_glp1,age,float64,161685,0.4389,53.0 | 55.0 | 64.0 | 38.0 | 60.0
DEMO_glp1,age_cod,str,164344,0.4297,YR | MON | DY | DEC | WK
DEMO_glp1,sex,str,257684,0.1058,F | M | UNK | NS | I
DEMO_glp1,e_sub,str,288173,0.0,N | Y
DEMO_glp1,wt,float64,58502,0.797,238.0 | 168.0 | 114.0 | 300.0 | 220.0
DEMO_glp1,wt_cod,str,58499,0.797,LBS | KG | GMS
DEMO_glp1,rept_dt,str,288121,0.0002,20050621 | 20050705 | 20050707 | 20050711 | 20050719
DEMO_glp1,occp_cod,str,279854,0.0289,MD | OT | CN | PH | LW
DEMO_glp1,death_dt,str,0,1.0,
DEMO_glp1,to_mfr,str,19960,0.9307,N | Y
DEMO_glp1,confid,str,589,0.998,N | Y
DEMO_glp1,age_grp,str,46917,0.8372,A | E | N | T | C
DEMO_glp1,init_fda_dt,str,232973,0.1916,20090610 | 20090624 | 20091023 | 20091027 | 20100217
DEMO_glp1,reporter_country,str,288128,0.0002,UNITED STATES | BRAZIL | IRAQ | HUNGARY | CANADA
DEMO_glp1,occr_country,str,220650,0.2343,US | SN | SE | FR | JP
DEMO_glp1,i_f_code,str,232973,0.1916,F | I
DEMO_glp1,gndr_cod,str,11129,0.9614,M | F | NS
DEMO_glp1,auth_num,str,6906,0.976,ADR 22489985 | GB-MHRA-EYC 00112356 | HR-HALMED-2014-01844 | #ES-AGEMED-107351344 | SE-MPA-2014-003314
DEMO_glp1,lit_ref,str,239,0.9992,"SHI XUEXIU, YAN DANDAN, REN YANHONG, HUANG TING, LI XIALIAN. LIRAGLUTIDE INDUCED TACHYCARDIA: ONE CASE REPORT AND LITERATURE REVIEW. CHIN J ENDOCRINOL METAB. 2014;VOL.30:344-345 | MATTHEW BOWLER ET. AL.. TWO LESSONS FROM THE EMPIRIC MANAGEMENT OF A COMBINED OVERDOSE OF LIRAGLUTIDE AND AMITRIPTYLINE. A+A CASE REPORTS. 2014;2:28-30 | PAULA FONTOURA AND ET. AL.. THE EFFECTS OF LIRAGLUTIDE ON MALE FERTILITY: A CASE REPORT. REPRODUCTIVE BIOMEDICINE ONLINE. 2014;1-3 | INTEGRATED MARKETING ASSOCIATES | SEIITHIRO OHKAKU AND ET. AL.. A CASE OF A PATIENT WITH DIABETES MELLITUS WHERE ESOPHAGEAL ACHALASIA DEVELOPED DURING TREATMENT WITH A GLP-1 RECEPTOR AGONIST. THE 51ST KINKI REGIONAL MEETING OF THE JAPAN DIABETES SOCIETY"
REAC_glp1_soc,primaryid,int64,788355,0.0,4698906 | 4708385 | 4712943 | 4714764 | 4714797
REAC_glp1_soc,pt,str,788355,0.0,ILEUS | NAUSEA | VOMITING | HYPOGLYCAEMIA | ORAL INTAKE REDUCED
REAC_glp1_soc,caseid,float64,606197,0.2311,7016454.0 | 7031713.0 | 7156283.0 | 7159750.0 | 7281575.0
REAC_glp1_soc,drug_rec_act,str,372,0.9995,Abdominal pain | Injection site induration | Injection site swelling | Nausea | Vomiting
REAC_glp1_soc,soc_code,str,325401,0.5872,10017947 | 10027433 | 10018065 | 10007541 | 10022891
REAC_glp1_soc,soc_name,str,325401,0.5872,Gastrointestinal disorders | Metabolism and nutrition disorders | General disorders and administration site conditions | Cardiac disorders | Investigations
REAC_glp1_soc,hlt_name,str,325401,0.5872,Motility disorders | Nausea and vomiting symptoms | Glucose metabolism disorders | Death and sudden death | Fluid imbalance conditions
REAC_glp1_soc,hlgt_name,str,325401,0.5872,Gastrointestinal signs and symptoms | Metabolic disorders | Administration site reactions | Cardiac disorders NEC | Investigations NEC
REAC_glp1_soc,meddra_src,str,788355,0.0,bundled | unmapped
